inspector_name,inspection_date,slip_no,product_name,start_time,end_time,work_minutes,tehai_no,order_no,bottom_ng_count,slat_ng_count,balance_ng_count,ng_total
加藤葵,2026-01-05,SLIP-260105001,RS-90X180-WH,08:32:40,08:39:53,7.2,TEH-260105001,ORD-260105-001,0,0,0,0
田中玲,2026-01-05,SLIP-260105002,RS-120X200-GY,08:38:06,08:41:50,3.7,TEH-260105002,ORD-260105-002,0,0,0,0
小林陽,2026-01-05,SLIP-260105003,VB-50-80X150-IV,08:32:58,08:38:01,5.0,TEH-260105003,ORD-260105-003,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-260105004,VT-80X200-LG,08:42:54,08:50:03,7.2,TEH-260105004,ORD-260105-004,0,0,0,0
田中玲,2026-01-05,SLIP-260105005,RS-180X220-BK,08:42:08,08:46:19,4.2,TEH-260105005,ORD-260105-005,0,0,0,0
田中玲,2026-01-05,SLIP-260105006,VB-60-90X160-BR,08:46:37,08:50:51,4.2,TEH-260105006,ORD-260105-006,0,0,0,0
小林陽,2026-01-05,SLIP-260105007,RS-90X180-WH,08:48:55,08:53:39,4.7,TEH-260105007,ORD-260105-007,0,0,0,0
田中玲,2026-01-05,SLIP-260105008,RS-120X200-GY,08:51:05,08:54:57,3.9,TEH-260105008,ORD-260105-008,0,0,0,0
田中玲,2026-01-05,SLIP-260105009,VB-50-80X150-IV,08:55:16,08:58:58,3.7,TEH-260105009,ORD-260105-009,0,0,0,0
田中玲,2026-01-05,SLIP-260105010,VT-80X200-LG,09:05:56,09:10:01,4.1,TEH-260105010,ORD-260105-010,0,0,0,0
小林陽,2026-01-05,SLIP-260105011,RS-180X220-BK,08:53:45,08:58:40,4.9,TEH-260105011,ORD-260105-011,0,0,0,0
加藤葵,2026-01-05,SLIP-260105012,VB-60-90X160-BR,08:59:23,09:06:59,7.6,TEH-260105012,ORD-260105-012,0,0,0,0
加藤葵,2026-01-05,SLIP-260105013,RS-90X180-WH,09:07:06,09:14:22,7.3,TEH-260105013,ORD-260105-013,0,0,0,0
