inspector_name,inspection_date,slip_no,product_name,start_time,end_time,work_minutes,tehai_no,order_no,bottom_ng_count,slat_ng_count,balance_ng_count,ng_total
鈴木ミカ,2026-01-05,SLIP-0105-001,VB-60-90X160-BR,08:00:00,08:04:34,4,TEH-260105-001,ORD-260105-001,0,0,0,0
田中玲,2026-01-05,SLIP-0105-002,VB-50-80X150-IV,08:00:00,08:05:47,5,TEH-260105-002,ORD-260105-002,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-003,RS-110X210-WH,08:00:00,08:06:16,6,TEH-260105-003,ORD-260105-003,0,0,0,0
小林陽,2026-01-05,SLIP-0105-004,RS-100X190-BK,08:00:00,08:05:49,5,TEH-260105-004,ORD-260105-004,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-005,RS-90X180-WH,08:04:58,08:10:34,5,TEH-260105-005,ORD-260105-005,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-001,RS-100X190-BK,08:00:00,08:05:04,5,TEH-260105-006,ORD-260105-006,0,0,0,0
田中玲,2026-01-05,SLIP-0105-006,VB-50-80X150-IV,08:05:57,08:11:26,5,TEH-260105-007,ORD-260105-007,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-007,VB-50-80X150-IV,08:06:24,08:11:16,4,TEH-260105-008,ORD-260105-008,0,0,0,0
田中玲,2026-01-06,SLIP-0106-002,RS-110X210-WH,08:00:00,08:05:54,5,TEH-260105-009,ORD-260105-009,0,0,0,0
小林陽,2026-01-05,SLIP-0105-008,RS-90X180-WH,08:06:13,08:11:02,4,TEH-260105-010,ORD-260105-010,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-003,VB-60-90X160-BR,08:00:00,08:05:58,5,TEH-260105-011,ORD-260105-011,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-009,VB-60-90X160-BR,08:11:02,08:17:13,6,TEH-260105-012,ORD-260105-012,0,0,0,0
田中玲,2026-01-05,SLIP-0105-010,VB-50-80X150-IV,08:11:53,08:17:53,6,TEH-260105-013,ORD-260105-013,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-011,VB-50-80X150-IV,08:11:28,08:16:59,5,TEH-260105-014,ORD-260105-014,0,0,0,0
小林陽,2026-01-05,SLIP-0105-012,RS-100X190-BK,08:11:09,08:16:56,5,TEH-260105-015,ORD-260105-015,0,0,0,0
小林陽,2026-01-06,SLIP-0106-004,RS-110X210-WH,08:00:00,08:06:40,6,TEH-260105-016,ORD-260105-016,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-013,RS-110X210-WH,08:17:22,08:22:58,5,TEH-260105-017,ORD-260105-017,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-005,VB-60-90X160-BR,08:05:28,08:11:55,6,TEH-260105-018,ORD-260105-018,0,0,0,0
田中玲,2026-01-05,SLIP-0105-014,VB-50-80X150-IV,08:18:23,08:24:25,6,TEH-260105-019,ORD-260105-019,0,0,0,0
田中玲,2026-01-06,SLIP-0106-006,RS-120X200-GY,08:06:01,08:11:42,5,TEH-260105-020,ORD-260105-020,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-015,RS-110X210-WH,08:17:14,08:23:07,5,TEH-260105-021,ORD-260105-021,0,0,0,0
小林陽,2026-01-05,SLIP-0105-016,VB-50-80X150-IV,08:17:18,08:23:19,6,TEH-260105-022,ORD-260105-022,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-017,RS-110X210-WH,08:23:04,08:29:08,6,TEH-260105-023,ORD-260105-023,0,0,0,0
田中玲,2026-01-05,SLIP-0105-018,RS-90X180-WH,08:24:40,08:30:42,6,TEH-260105-024,ORD-260105-024,0,0,0,0
加藤葵,2026-01-06,SLIP-0106-007,VB-60-90X160-BR,08:06:06,08:12:03,5,TEH-260105-025,ORD-260105-025,0,0,0,0
小林陽,2026-01-06,SLIP-0106-008,RS-90X180-WH,08:06:45,08:12:23,5,TEH-260105-026,ORD-260105-026,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-019,VB-50-80X150-IV,08:23:17,08:28:49,5,TEH-260105-027,ORD-260105-027,0,0,0,0
小林陽,2026-01-05,SLIP-0105-020,VB-50-80X150-IV,08:23:45,08:29:51,6,TEH-260105-028,ORD-260105-028,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-021,RS-120X200-GY,08:29:25,08:35:19,5,TEH-260105-029,ORD-260105-029,0,0,0,0
田中玲,2026-01-05,SLIP-0105-022,RS-110X210-WH,08:30:48,08:36:26,5,TEH-260105-030,ORD-260105-030,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-023,VB-60-90X160-BR,08:29:15,08:34:32,5,TEH-260105-031,ORD-260105-031,0,0,0,0
小林陽,2026-01-05,SLIP-0105-024,VB-60-90X160-BR,08:30:17,08:35:40,5,TEH-260105-032,ORD-260105-032,0,0,0,0
鈴木ミカ,2026-01-05,SLIP-0105-025,RS-120X200-GY,08:35:34,08:40:54,5,TEH-260105-033,ORD-260105-033,0,0,0,0
田中玲,2026-01-05,SLIP-0105-026,VB-60-90X160-BR,08:36:38,08:42:20,5,TEH-260105-034,ORD-260105-034,0,0,0,0
鈴木ミカ,2026-01-06,SLIP-0106-009,RS-90X180-WH,08:12:25,08:18:08,5,TEH-260105-035,ORD-260105-035,0,0,0,0
加藤葵,2026-01-05,SLIP-0105-027,RS-110X210-WH,08:34:37,08:40:05,5,TEH-260105-036,ORD-260105-036,0,0,0,0
小林陽,2026-01-05,SLIP-0105-028,RS-110X210-WH,08:36:00,08:42:18,6,TEH-260105-037,ORD-260105-037,3,2,1,3
鈴木ミカ,2026-01-05,SLIP-0105-029,VB-60-90X160-BR,08:41:21,08:47:25,6,TEH-260105-038,ORD-260105-038,0,0,0,0
田中玲,2026-01-05,SLIP-0105-030,VB-60-90X160-BR,08:42:33,08:47:44,5,TEH-260105-039,ORD-260105-039,0,0,0,0
田中玲,2026-01-06,SLIP-0106-010,VB-50-80X150-IV,08:11:56,08:17:09,5,TEH-260105-040,ORD-260105-040,0,0,0,0
